Word,Count
do,4
o,4
Disciplinas,3
Variáveis,2
modelo,2
Preferências,2
de,2
--------,2
Se,2
---------,2
variáveis,2
dest);,2
for,2
\solucoes,\,2
aluno,2
que,1
\fagoc::gen_html(curso,\,1
Período,1
turma/período),1
objetivo,1
então,1
\maior,\,1
CP,1
resposta,1
número,1
(mesma,1
\fagoc::gen_txt(curso,\,1
decisão,1
Carga,1
Atribui,1
-----,1
as,1
Pré-requisitos,1
às,1
membro,1
horária,1
Elaboração,1
Co-requisitos,1
Optimizer,1
Inicialização,1
Cria,1
curso,1
dos,1
utiliza,1
utiliza-se,1
\30,\,1
das,1
já,1
community,1
menor,1
Resolve,1
disciplinas,1
Função,1
versão,1
mínimo,1
\resolve,\,1
horários,1
-------,1
CPLEX,1
restrições,1
a,1
não,1
Restrições,1
aprovadas,1
ofertadas,1
equivalentes,1
