File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
C:\Users\Italo Silva\Projeto\ModeloGrade\modelo-grade\aluno.cpp,"fagoc::Aluno::Aluno(std::string nome, std::vector<char>&& aprovacoes, std::vector<char>&& cursadas, int periodo, std::string turma)",1,1,1,0,0,0,0,0,
C:\Users\Italo Silva\Projeto\ModeloGrade\modelo-grade\aluno.cpp,turma_(turma),1,1,1,0,0,0,0,0,
C:\Users\Italo Silva\Projeto\ModeloGrade\modelo-grade\aluno.cpp,fagoc::Aluno::nome() const,2,2,2,1,0,0,0,0,
C:\Users\Italo Silva\Projeto\ModeloGrade\modelo-grade\aluno.cpp,fagoc::Aluno::turma() const,2,2,2,1,0,0,0,0,
C:\Users\Italo Silva\Projeto\ModeloGrade\modelo-grade\aluno.cpp,fagoc::Aluno::periodo() const,2,2,2,1,0,0,0,0,
C:\Users\Italo Silva\Projeto\ModeloGrade\modelo-grade\aluno.cpp,fagoc::Aluno::aprovacoes() const,2,2,2,1,0,0,0,0,
C:\Users\Italo Silva\Projeto\ModeloGrade\modelo-grade\aluno.cpp,fagoc::Aluno::cursadas() const,2,2,2,1,0,0,0,0,
C:\Users\Italo Silva\Projeto\ModeloGrade\modelo-grade\arquivos.cpp,fagoc::le_json(std::string arquivo),121,92,77,13,29,0,0,0,
C:\Users\Italo Silva\Projeto\ModeloGrade\modelo-grade\curso.cpp,"fagoc::Curso::Curso(std::vector<int>&& creditos, std::vector<std::vector<char>>&& pre_reqs, std::vector<std::vector<char>>&& co_reqs, std::vector<std::vector<char>>&& horario, std::vector<char>&& ofertadas, std::vector<std::vector<char>>&& equivs, std::vector<std::pair<int, std::string>>&& disc_turma, std::vector<int>&& periodos_min, std::vector<std::string>&& nome_discs, std::vector<int>&& capacidades)",1,1,1,0,0,0,0,0,
C:\Users\Italo Silva\Projeto\ModeloGrade\modelo-grade\curso.cpp,fagoc::Curso::atualiza_ofertadas(const std::vector<char>& escolhidas),13,12,8,4,1,0,0,0,
C:\Users\Italo Silva\Projeto\ModeloGrade\modelo-grade\curso.cpp,fagoc::Curso::num_disciplinas() const,2,2,2,1,0,0,0,0,
C:\Users\Italo Silva\Projeto\ModeloGrade\modelo-grade\curso.cpp,fagoc::Curso::num_horarios() const,2,2,2,1,0,0,0,0,
C:\Users\Italo Silva\Projeto\ModeloGrade\modelo-grade\curso.cpp,fagoc::Curso::creditos() const,2,2,2,1,0,0,0,0,
C:\Users\Italo Silva\Projeto\ModeloGrade\modelo-grade\curso.cpp,fagoc::Curso::pre_requisitos() const,2,2,2,1,0,0,0,0,
C:\Users\Italo Silva\Projeto\ModeloGrade\modelo-grade\curso.cpp,fagoc::Curso::co_requisitos() const,2,2,2,1,0,0,0,0,
C:\Users\Italo Silva\Projeto\ModeloGrade\modelo-grade\curso.cpp,fagoc::Curso::horario() const,2,2,2,1,0,0,0,0,
C:\Users\Italo Silva\Projeto\ModeloGrade\modelo-grade\curso.cpp,fagoc::Curso::ofertadas() const,2,2,2,1,0,0,0,0,
C:\Users\Italo Silva\Projeto\ModeloGrade\modelo-grade\curso.cpp,fagoc::Curso::equivalencias() const,2,2,2,1,0,0,0,0,
C:\Users\Italo Silva\Projeto\ModeloGrade\modelo-grade\curso.cpp,fagoc::Curso::disc_turma() const,2,2,2,1,0,0,0,0,
C:\Users\Italo Silva\Projeto\ModeloGrade\modelo-grade\curso.cpp,fagoc::Curso::periodos_minimos() const,2,2,2,1,0,0,0,0,
C:\Users\Italo Silva\Projeto\ModeloGrade\modelo-grade\curso.cpp,fagoc::Curso::nome_disciplinas() const,2,2,2,1,0,0,0,0,
C:\Users\Italo Silva\Projeto\ModeloGrade\modelo-grade\main.cpp,print_solutions(const std::vector<std::shared_ptr<fagoc::Solver::Solucao>>& solucoes),8,8,6,2,0,0,0,0,
C:\Users\Italo Silva\Projeto\ModeloGrade\modelo-grade\main.cpp,"main(int argc, char *argv[])",18,14,13,1,2,0,2,6,
C:\Users\Italo Silva\Projeto\ModeloGrade\modelo-grade\solver.cpp,"fagoc::Solver::Solver(const Curso& curso, const Aluno& aluno)",1,1,1,0,0,0,0,0,
C:\Users\Italo Silva\Projeto\ModeloGrade\modelo-grade\solver.cpp,fagoc::Solver::solve(),160,122,101,29,17,0,21,80,
C:\Users\Italo Silva\Projeto\ModeloGrade\modelo-grade\solver.cpp,fagoc::Solver::solucao() const,2,2,2,1,0,0,0,0,
C:\Users\Italo Silva\Projeto\ModeloGrade\modelo-grade\solver.cpp,"fagoc::soluciona_alunos(Curso& curso, const std::vector<Aluno>& alunos)",9,8,7,2,1,0,0,0,
